SpeciesID,Taxon,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer
76,Thesea sp A,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,,Thesea,,sp A,Ljubenkov 1986 §
77,Thesea sp B,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Plexauridae,,,Thesea,,sp B,Ljubenkov 1986 §
79,Renilla koellikeri,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Sessiliflorae,,,Renillidae,,,Renilla,,koellikeri,Pfeffer 1886
80,Stachyptilum superbum,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Sessiliflorae,,,Stachyptilidae,,,Stachyptilum,,superbum,Studer 1894
81,Umbellula magniflora,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Ombellulidae,,,Umbellula,,magniflora,Kölliker 1880
83,Halipteris californica,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Halipteridae,,,Halipteris,,californica,(Moroff 1902)
84,Acanthoptilum sp,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Acanthoptilum,,,
85,Stylatula elongata,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Stylatula,,elongata,(Gabb 1863)
86,Stylatula sp A,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Stylatula,,sp A,Ljubenkov 1991 §
87,Virgularia agassizii,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Virgularia,,agassizii,Studer 1894
88,Virgularia californica,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Virgulariidae,,,Virgularia,,californica,Pfeffer 1886
89,Pennatula phosphorea,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Pennatulidae,,,Pennatula,,phosphorea,Linnaeus 1758
90,Ptilosarcus gurneyi,CNIDARIA,,Anthozoa,Octocorallia,,,Pennatulacea,Subselliflorae,,,Pennatulidae,,,Ptilosarcus,,gurneyi,(J. E. Gray 1860)
91,Arachnanthus sp A,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,Cerianthidae,,,Arachnanthus,,sp A,Ljubenkov & Pasko 1998 §
92,Pachycerianthus fimbriatus,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,Cerianthidae,,,Pachycerianthus,,fimbriatus,McMurrich 1910
93,Ceriantharia sp C,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,,,,Ceriantharia,,sp C,MEC 1986 §
94,Ceriantharia sp D,CNIDARIA,,Anthozoa,Ceriantipatharia,,,Ceriantharia,Spirularia,,,,,,Ceriantharia,,sp D,MEC 1986 §
95,Caryophyllia alaskensis,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,,Caryophyllia,,alaskensis,Vaughan 1941
96,Coenocyathus bowersi,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,,Coenocyathus,,bowersi,Vaughan 1906
97,Desmophyllum dianthus,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,,Desmophyllum,,dianthus,(Esper 1794)
98,Desmophyllum pertusum,CNIDARIA,,Anthozoa,Hexacorallia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,,Desmophyllum,,pertusum,(Linnaeus 1758)
99,Paracyathus stearnsii,CNIDARIA,,Anthozoa,Zoantharia,,,Scleractinia,Caryophylliina,,Caryophyllioidea,Caryophylliidae,,,Paracyathus,,stearnsii,Verrill 1869
100,Edwardsia californica,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,,Edwardsia,,californica,McMurrich 1903
104,Metedwardsia sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,,Metedwardsia,,sp A,Ljubenkov 1980 §
105,Scolanthus triangulus,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Edwardsiidae,,,Scolanthus,,triangulus,Daly & Ljubenkov 2008
106,Pentactinia californica,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampoididae,,,Pentactinia,,californica,Carlgren 1900
107,Limnactiniidae sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Limnactiniidae,,,Limnactiniidae,,sp A,SCAMIT 1989 §
108,Anemonactis sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,,Anemonactis,,sp A,Ljubenkov 1986 §
109,Harenactis attenuata,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,,Harenactis,,attenuata,Torrey 1902
110,Peachia quinquecapitata,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Haloclavidae,,,Peachia,,quinquecapitata,McMurrich 1913
111,Cactosoma arenaria,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,,Cactosoma,,arenaria,Carlgren 1931
112,Halcampa decemtentaculata,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,,Halcampa,,decemtentaculata,Hand 1954
113,Halianthella sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Halcampidae,,,Halianthella,,sp A,SCAMIT 1989 §
114,Epiactis prolifera,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actiniidae,,,Epiactis,,prolifera,Verrill 1869
116,Urticina columbiana,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actiniidae,,,Urticina,,columbiana,Verrill 1922
117,Isanthidae sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Isanthidae,,,Isanthidae,,sp A,SCAMIT 1989 §
118,Zaolutus actius,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Isanthidae,,,Zaolutus,,actius,Hand 1955
119,Liponema brevicorne,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Liponematidae,,,Liponema,,brevicorne,(McMurrich 1893)
120,Actinostola sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actinostolidae,,,Actinostola,,sp A,Ljubenkov 1998 §
121,Stomphia vinosa,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Actinostolidae,,,Stomphia,,vinosa,(McMurrich 1893)
122,Amphianthus californicus,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,,Amphianthus,,californicus,Carlgren 1936
123,Stephanauge annularis,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,,Stephanauge,,annularis,Carlgren 1936
124,Stephanauge sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Hormathiidae,,,Stephanauge,,sp A,Ljubenkov 1991 §
125,Sagartia catalinensis,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Sagartiidae,,,Sagartia,,catalinensis,McPeak 1968
126,Bunodeopsis sp A,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Boloceroididae,,,Bunodeopsis,,sp A,Ljubenkov 1998 §
127,Metridium farcimen,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,Metridiidae,,,Metridium,,farcimen,(Brandt 1835)
129,Anthozoa #49,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,,,,Anthozoa,,#49,Ljubenkov 1984 §
130,Anthozoa #76,CNIDARIA,,Anthozoa,Zoantharia,,,Actiniaria,Nynantheae,,,,,,Anthozoa,,#76,Ljubenkov 1984 §
131,Corynactis californica,CNIDARIA,,Anthozoa,Zoantharia,,,Corallimorpharia,,,,Corallimorphidae,,,Corynactis,,californica,Carlgren 1936
132,Epizoanthus induratum,CNIDARIA,,Anthozoa,Zoantharia,,,Zoanthidea,,,,Epizoanthidae,,,Epizoanthus,,induratum,Cutress & Pequegnat 1960
133,Epizoanthus leptoderma,CNIDARIA,,Anthozoa,Zoantharia,,,Zoanthidea,,,,Epizoanthidae,,,Epizoanthus,,leptoderma,Cutress & Pequegnat 1960
137,Stylochus exiguus,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Stylochidae,,,Stylochus,,exiguus,Hyman 1953
140,Stylochus franciscanus,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Stylochidae,,,Stylochus,,franciscanus,Hyman 1953
141,Stylochus tripartitus,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Stylochidae,,,Stylochus,,tripartitus,Hyman 1953
142,Cryptocelis occidentalis,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Cryptocelididae,,,Cryptocelis,,occidentalis,Hyman 1953
147,Notocomplana acticola,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Notoplanidae,,,Notocomplana,,acticola,(Boone 1929)
148,Notocomplana rupicola,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Notoplanidae,,,Notocomplana,,rupicola,(Heath & McGregor 1912)
150,Phaenoplana longipenis,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Stylochoplanidae,,,Phaenoplana,,longipenis,(Hyman 1953)
151,Pleioplana inquieta,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Pleioplanidae,,,Pleioplana,,inquieta,(Heath & McGregor 1912)
156,Hoploplana californica,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Leptoplanidae,,,Hoploplana,,californica,Hyman 1953
157,Hoploplana sp A,PLATYHELMINTHES,,Rhabditophora,Trepaxonemata,,,Polycladida,Acotylea,,Leptoplanoidea,Leptoplanidae,,,Hoploplana,,sp A,SCAMIT 2007 º
159,Paraplanocera oligoglena,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Stylochoidea,Planoceridae,,,Paraplanocera,,oligoglena,(Schmarda 1859)
163,Emprosthopharynx gracilis,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Acotylea,,Leptoplanoidea,Stylochoplanidae,,,Emprosthopharynx,,gracilis,(Heath & McGregor 1912)
167,Acerotisa californica,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Euryleptidae,,,Acerotisa,,californica,Hyman 1953
168,Eurylepta aurantiaca,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Euryleptidae,,,Eurylepta,,aurantiaca,Heath & McGregor 1912
169,Eurylepta leoparda,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Euryleptidae,,,Eurylepta,,leoparda,Freeman 1933
171,Stylostomum lentum,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Euryleptidae,,,Stylostomum,,lentum,Heath & McGregor 1912
172,Enchiridium punctatum,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Prostiostomidae,,,Enchiridium,,punctatum,Hyman 1953
173,Prosthiostomum latocelis,PLATYHELMINTHES,,Turbellaria,,,,Polycladida,Cotylea,,Euryleptoidea,Prostiostomidae,,,Prosthiostomum,,latocelis,Hyman 1953
177,Neorhabdocoela sp HYP1,PLATYHELMINTHES,,Turbellaria,,,,Rhabdocoela,,,,,,,Neorhabdocoela,,sp HYP1,Phillips 2006 §
178,Rhabdocoela sp A,PLATYHELMINTHES,,Rhabditophora,Trepaxonemata,,,Rhabdocoela,,,,,,,Rhabdocoela,,sp A,SCAMIT 1998 º
179,Rhabdocoela sp HYP1,PLATYHELMINTHES,,Turbellaria,,,,Rhabdocoela,,,,,,,Rhabdocoela,,sp HYP1,Phillips 2006 §
180,Rhabdocoela sp HYP2,PLATYHELMINTHES,,Turbellaria,,,,Rhabdocoela,,,,,,,Rhabdocoela,,sp HYP2,Phillips 2006 §
181,Cephalothrix sp,NEMERTEA,,Anopla,,,,Archinemertea,,,,Cephalotrichidae,,,Cephalothrix,,sp,
182,Carinoma mutabilis,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinoma,,mutabilis,Griffin 1898
183,Carinomella lactea,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Carinomella,,lactea,Coe 1905
184,Tubulanus albocinctus,NEMERTEA,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,albocinctus,(Coe 1904)
